NO,Predict,aat0dem,aat10dem,asp,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,eco,im,lst,lucc,mor,ndvi,pa,sand,silt,slope,soil,tadem,veg,water
10981,0,58648,51830,72.8973,167,277,53,1302,236,32,52,549,129,512,131,77,23,8700,328,7,321,251,73,,25,4,7095,14289,42,11,-1828,15234,,,12.7726,23124100,161,0,0
10420,0,60134,52620,294.538,172,281,57,1405,241,43,49,600,158,509,169,79,24,8725,337,13,324,214,80,,6,4,6164,1435,42,12,-1808,14377,,,15.6915,23124100,165,0,0
2864,1,57279,51006,180,165,277,46,1192,198,35,48,493,131,475,134,78,23,8984,329,-2,331,253,68,15,9,4,5557,,41,11,-1797,13587,52,33,0,23116142,157,,0
2865,1,57279,51006,135,165,277,46,1192,198,35,48,493,131,475,134,78,23,8984,329,-2,331,253,68,15,9,4,5557,,41,11,-1797,13587,52,33,0.450149,23116142,157,,0
2867,1,57279,51006,90,165,277,46,1192,198,35,48,493,131,475,134,78,23,8984,329,-2,331,253,68,15,10,4,5557,,41,11,-1797,13587,52,33,2.86241,23116142,157,5772,57.8713
4071,0,57399,51097,270,162,274,44,1201,201,38,48,496,143,491,151,81,24,8940,327,-4,331,249,67,,7,4,5016,,42,11,-1780,13083,,,0.954841,23124100,157,0,0
13897,0,58617,51799,209.604,167,277,53,1298,237,31,52,545,129,513,129,77,23,8707,328,7,321,251,72,,4,4,6935,,42,11,-1780,15088,,,15.7031,23124100,161,0,0
12502,0,60471,52864,296.565,173,282,58,1426,243,44,49,609,161,515,173,79,24,8739,337,13,324,214,81,,4,4,5926,14261,42,11,-1766,14190,,,1.42323,23124100,166,0,0
12201,0,61382,56452,27.7585,173,282,57,1411,238,43,48,597,164,501,177,78,24,8750,338,14,324,215,81,,42,4,6924,14265,42,11,-1711,14643,,,13.418,23124100,168,0,0
5016,0,60560,52925,306.158,173,282,57,1425,242,44,49,605,163,513,175,78,24,8745,337,13,324,215,80,,94,4,5906,14272,42,11,-1701,14192,,,19.6875,23124100,166,0,0
8318,0,59402,52223,279.462,169,279,53,1276,224,33,54,576,134,461,143,76,23,8754,330,6,324,211,75,,-2,4,6464,14284,42,11,-1700,14741,,,3.86653,23124100,163,0,0
8143,0,59162,52071,85.1944,171,280,57,1377,239,42,51,598,150,502,160,79,24,8677,334,11,323,213,79,,28,4,6753,1429,42,11,-1698,14806,,,51.5624,23124100,162,0,0
6543,0,59279,52131,147.529,170,279,54,1258,220,32,54,569,133,450,141,76,23,8741,330,7,323,212,76,,9,4,6617,1427,42,12,-1696,14832,,,4.14302,23124100,162,0,0
1704,1,58648,51830,270,167,277,52,1302,232,36,51,549,133,505,139,77,23,8773,329,5,324,252,72,,8,1,7295,,113,14,-1685,15415,,,2.22705,23116140,161,2402,42.954
1703,1,58648,51830,153.435,167,277,52,1302,232,36,51,549,133,505,139,77,23,8773,329,5,324,252,72,,7,1,7295,,113,14,-1685,15415,,,1.42323,23116140,161,2402,0
1706,1,58648,51830,225,167,277,52,1302,232,36,51,549,133,505,139,77,23,8773,329,5,324,252,72,,6,1,7295,,113,14,-1685,15415,,,1.35022,23116140,161,2402,42.954
7039,0,57216,50976,330.255,162,274,45,1207,202,39,48,498,145,494,153,81,24,8894,327,-3,330,248,67,,17,4,5160,1439,42,11,-1676,13157,,,2.56458,23124100,157,0,0
4707,0,59436,52224,147.529,172,281,57,1396,241,43,50,602,154,508,165,79,24,8692,335,11,324,214,80,,-27,4,6584,14318,42,11,-1675,14683,,,12.2601,23124100,163,0,0
10366,0,60499,52864,90,172,282,57,1410,241,43,49,601,159,509,171,79,24,8731,337,13,324,214,81,,8,4,6138,14266,42,11,-1666,14361,,,0.636594,23124100,166,0,0
13803,0,60167,52681,333.435,173,282,58,1416,242,44,49,604,160,512,172,79,24,8725,337,13,324,214,81,,-5,4,6178,14242,42,11,-1663,14399,,,2.1343,23124100,165,0,0
13482,0,58278,51584,157.249,167,275,57,1324,254,27,55,547,118,543,118,79,25,8520,326,12,314,248,57,,32,4,5915,14261,42,11,-1611,14085,,,20.4809,23124100,160,0,0
6071,0,61412,56451,315,173,283,58,1430,241,44,48,603,165,512,178,78,24,8758,338,15,323,215,81,,3,4,7092,14293,42,11,-1610,14754,,,1.35022,23124100,168,0,0
4870,0,58824,51888,176.379,167,276,56,1321,253,27,54,554,120,536,120,79,25,8592,327,11,316,205,56,,32,4,6416,14219,42,11,-1610,14606,,,23.7383,23124100,161,0,0
3357,1,57555,51189,307.569,163,278,42,1177,193,35,48,495,135,483,139,78,23,9167,332,-7,339,253,65,,-3,4,4961,14335,41,11,-1563,13100,,,5.20629,23125100,158,580,19.2664
3338,1,57555,51189,203.749,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,4,4,4961,14335,42,11,-1563,13100,,,8.62818,23125100,158,580,317.296
3341,1,57555,51189,105.945,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,2,4,4961,14335,41,11,-1563,13100,,,6.91817,23125100,158,580,229.395
3346,1,57525,51159,187.696,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,-7,4,4961,14335,42,11,-1563,13100,,,11.7183,23125100,158,580,306.584
3348,1,57555,51189,71.5651,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,-5,4,4961,14335,42,11,-1563,13100,,,3.01696,23125100,158,580,340.18
3351,1,57525,51159,343.61,164,278,42,1177,194,35,48,495,135,483,138,78,23,9159,331,-7,338,254,65,,6,4,4968,14335,42,11,-1563,13105,,,5.62235,23125100,158,580,275.273
3352,1,57555,51189,158.199,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,11,4,4961,14335,41,11,-1563,13100,,,5.12871,23125100,158,580,206.966
3353,1,57555,51189,255.964,164,278,42,1179,194,35,48,496,135,484,139,78,23,9172,332,-7,339,254,65,,12,4,4961,14335,41,11,-1563,13100,,,1.3122,23125100,158,580,217.953
1630,1,59310,52162,288.435,170,279,54,1293,227,34,54,583,135,469,145,76,23,8739,330,7,323,212,76,25,16,4,6664,14288,42,13,-1536,14894,42,33,3.01696,23124100,162,0,0
1635,1,59310,52162,251.565,170,279,54,1293,227,34,54,583,135,469,145,76,23,8739,330,7,323,212,76,,15,4,6664,14288,42,13,-1536,14894,,,3.01696,23124100,162,0,0
1637,1,59310,52162,270,170,279,54,1293,227,34,54,583,135,469,145,76,23,8739,330,7,323,212,76,25,13,4,6664,14288,42,13,-1536,14894,42,33,1.90915,23124100,162,0,0
4421,0,59402,52223,243.435,169,279,53,1292,227,33,54,581,134,471,143,76,23,8740,329,6,323,212,76,,13,4,6483,14347,42,15,-1528,14758,,,0.711726,23124100,163,0,0
11502,0,57216,50976,180,162,274,45,1209,202,39,48,499,146,494,154,81,24,8906,327,-3,330,248,67,,8,4,5202,14321,42,13,-1501,13198,,,1.90915,23124100,157,0,0
4316,0,58704,51827,300.101,167,276,56,1322,252,27,54,550,120,538,120,78,24,8571,327,11,316,249,56,,25,4,6182,1427,42,11,-1493,14397,,,23.8976,23124100,161,0,0
6200,0,59374,52193,252.699,172,280,57,1392,241,43,50,601,153,508,163,79,24,8694,335,11,324,213,79,,13,4,6584,14245,42,11,-1477,14679,,,19.5422,23124100,163,0,0
13565,0,60164,52650,260.311,172,281,58,1410,242,43,49,602,159,510,171,79,24,8693,337,13,324,213,81,,23,4,6135,14289,42,12,-1421,14355,,,13.0112,23124100,165,0,0
2489,1,58648,51830,180,167,276,53,1314,238,33,52,558,131,512,135,77,23,8701,328,6,322,250,73,22,18,4,7302,14361,41,11,-1418,15426,47,31,1.59114,23125100,161,580,5.54583
4178,0,57246,51006,180,162,273,44,1193,198,38,48,492,143,490,151,82,24,8919,326,-4,330,248,67,,9,4,4989,,42,11,-1418,12999,,,0,23124100,157,0,0
10789,0,60076,52621,176.82,173,282,57,1420,242,44,49,606,160,513,172,79,24,8736,337,13,324,214,81,15,-2,4,6193,14254,42,11,-1413,14411,52,33,5.71934,23116142,165,0,0
7348,0,60076,52621,36.0274,173,282,57,1420,242,44,49,606,160,513,172,79,24,8736,337,13,324,214,81,,0,4,6191,14254,42,11,-1413,14411,,,4.32127,23116142,165,0,0
4961,0,59248,52100,63.435,170,279,54,1270,222,33,54,574,134,455,143,76,23,8764,331,7,324,212,76,,16,4,6709,14289,42,17,-1402,14904,,,2.84471,23124100,162,5772,109.963
2495,1,58709,51860,323.13,167,276,52,1312,239,32,53,560,130,511,133,77,24,8720,327,7,320,251,73,22,11,4,7150,14429,41,11,-1389,15299,47,31,1.59114,23116140,161,580,13.8977
6878,0,60776,53048,103.749,173,282,58,1419,240,44,48,601,164,507,177,78,24,8721,338,14,324,215,81,,37,4,5882,14232,42,11,-1383,14196,,,28.2637,23124100,167,0,0
1385,1,59310,52162,198.435,169,279,54,1288,226,33,54,582,134,465,144,76,23,8739,330,7,323,212,76,,6,4,6738,14321,42,21,-1377,14948,,,1.00648,23124100,162,0,0
1388,1,59310,52162,213.179,169,279,54,1288,226,33,54,582,134,465,144,76,23,8739,330,7,323,212,76,,9,4,6738,14321,42,21,-1377,14948,,,9.79167,23124100,162,0,0
1390,1,59310,52162,188.746,169,279,54,1288,226,33,54,582,134,465,144,76,23,8739,330,7,323,212,76,,15,4,6738,14321,42,21,-1377,14948,,,12.3646,23124100,162,0,0
1391,1,59310,52162,309.289,169,279,54,1288,226,33,54,582,134,465,144,76,23,8739,330,7,323,212,76,,43,4,6697,14321,42,21,-1377,14916,,,4.51467,23124100,162,0,0
1393,1,59310,52162,208.61,169,279,54,1288,226,33,54,582,134,465,144,76,23,8739,330,7,323,212,76,,0,4,6738,14321,42,21,-1377,14948,,,7.92588,23124100,162,0,0
10966,0,58796,51888,257.471,167,276,56,1320,251,27,54,551,120,535,120,78,24,8589,327,11,316,205,56,,9,4,6402,14278,42,11,-1357,14588,,,5.84894,23124100,161,0,0
9992,0,60471,52864,14.0362,173,282,57,1421,242,44,49,606,160,513,172,79,24,8736,337,13,324,214,81,,0,4,5912,14256,42,11,-1355,14177,,,3.9311,23124100,166,0,0
12290,0,58643,51766,135,170,279,56,1338,234,38,51,586,144,489,152,79,24,8684,333,10,323,212,78,,26,4,7351,14242,42,11,-1347,15300,,,7.16495,23124100,161,0,0
9376,0,58886,51919,180,167,276,56,1315,250,27,54,553,121,530,121,78,24,8576,327,11,316,205,56,,28,4,6410,14223,42,11,-1339,14612,,,0,23124100,161,0,0
12884,0,61351,56421,180,173,282,58,1419,240,44,48,600,164,506,177,78,24,8728,338,14,324,215,81,,22,4,6969,1425,42,11,-1328,14665,,,0,23124100,168,0,0
10335,0,60137,52651,63.435,173,282,58,1417,242,44,49,604,160,513,172,79,24,8705,337,13,324,214,81,,0,4,6190,14251,42,11,-1326,14408,,,5.67546,23124100,165,0,0
10706,0,60653,52956,321.189,173,282,57,1410,240,43,49,599,162,505,174,79,24,8758,338,14,324,214,80,,44,4,5843,14258,42,11,-1311,14143,,,18.1577,23124100,166,0,0
9943,0,57246,51006,284.036,162,274,44,1202,201,38,48,497,144,492,152,81,24,8904,327,-4,331,248,67,,9,4,5119,1429,42,11,-1298,13124,,,1.3122,23124100,157,0,0
11492,0,61413,56483,180,173,283,57,1408,237,43,48,596,164,499,177,78,24,8778,339,14,325,214,81,,22,4,6911,14281,42,11,-1288,14639,,,0,23124100,168,0,0
9879,0,61413,56483,235.84,173,283,57,1407,237,43,48,596,164,498,177,78,24,8784,339,14,325,215,81,,26,4,6882,14274,42,11,-1288,14624,,,10.6467,23124100,168,0,0
2543,1,59101,52103,345.964,167,277,53,1312,239,31,53,564,129,510,133,76,23,8710,328,7,321,208,73,22,9,4,6914,1436,41,11,-1283,15123,47,31,1.3122,23116140,162,580,167.938
2545,1,59101,52103,274.764,167,277,53,1312,239,31,53,564,129,510,133,76,23,8710,328,7,321,208,73,22,17,4,6914,1436,41,11,-1283,15123,47,31,3.82726,23116140,162,580,139.17
2547,1,59101,52103,270,167,277,53,1316,240,31,53,565,130,512,133,76,23,8712,327,7,320,208,73,22,9,4,6838,1436,41,11,-1283,15061,47,31,2.22705,23116140,162,580,265.736
7828,0,60137,52651,116.565,173,282,58,1413,242,44,49,604,159,511,171,79,24,8713,337,13,324,214,81,,2,4,6190,14251,42,11,-1279,14408,,,2.84471,23124100,165,0,0
13173,0,60137,52651,108.435,173,282,58,1413,242,44,49,604,159,511,171,79,24,8713,337,13,324,214,81,,-3,4,6185,14251,42,11,-1279,14404,,,2.01234,23124100,165,0,0
13908,0,58551,51736,187.125,166,275,57,1325,254,27,55,549,119,542,119,79,25,8548,326,12,314,249,57,,-4,4,6343,14323,46,11,-1267,14512,,,7.65305,23124100,161,0,0
11532,0,60776,53048,192.995,173,282,58,1420,240,44,48,601,164,507,177,78,24,8762,338,14,324,215,81,,21,4,5882,14251,42,11,-1263,14192,,,4.23903,23124100,167,0,0
7076,0,60776,53048,71.5651,173,282,58,1419,240,44,48,601,164,507,177,78,24,8721,338,14,324,215,81,,45,4,5882,14251,42,11,-1263,14196,,,3.01696,23124100,167,0,0
6532,0,59006,51918,215.538,170,279,54,1278,223,33,53,578,136,456,145,76,23,8763,331,7,324,211,76,,9,4,6997,14292,46,12,-1251,15117,,,5.45982,23124100,162,0,159.05
1413,1,58859,51951,95.3558,167,276,53,1317,240,32,53,564,131,511,135,76,23,8718,327,7,320,208,73,,6,3,7013,14339,31,11,-1228,15190,,,10.1239,23125100,161,,321.822
1424,1,58859,51951,99.4623,167,276,53,1317,240,32,53,564,131,511,135,76,23,8718,327,7,320,208,73,,7,3,7013,14339,31,11,-1228,15190,,,7.69815,23125100,161,,252.927
6067,0,58886,51919,209.745,167,276,55,1313,248,28,54,552,123,527,123,78,24,8588,326,11,315,206,55,,-12,4,6429,14319,46,11,-1228,14631,,,2.56458,23124100,161,0,0
1406,1,59218,52070,180,170,279,54,1271,222,33,54,575,135,454,144,76,23,8755,331,7,324,211,76,,10,4,6819,14276,46,15,-1226,14986,,,0,23126100,162,5772,308.302
1408,1,59187,52070,135,170,279,54,1271,222,33,54,575,135,454,144,76,23,8755,331,7,324,211,76,,9,4,6819,14276,46,11,-1226,14986,,,0.450149,23126100,162,0,314.466
1411,1,59187,52070,288.435,170,279,54,1271,222,33,54,575,135,454,144,76,23,8755,331,7,324,211,76,,9,4,6819,14276,46,11,-1226,14986,,,1.00648,23126100,162,5772,356.084
6582,0,59218,52070,296.565,170,279,54,1271,222,33,54,575,135,454,144,76,23,8755,331,7,324,211,76,,9,4,6751,14276,46,11,-1226,14933,,,1.42323,23124100,162,0,0
2868,1,57308,51006,297.597,165,278,46,1192,198,35,48,493,131,475,134,78,23,9011,330,-2,332,253,67,,-23,4,5606,14331,41,11,-1214,13627,,,28.8835,23116142,157,5772,0
11535,0,61413,56483,39.2894,173,282,57,1412,238,43,48,598,164,501,177,78,24,8744,338,14,324,214,81,,24,4,6974,14258,42,11,-1200,14674,,,4.51467,23124100,168,0,0
9339,0,61443,56513,129.806,173,283,57,1412,237,43,48,597,164,499,178,78,24,8787,339,14,325,215,81,,4,4,6989,14258,42,11,-1200,14684,,,19.143,23124100,168,0,0
4032,0,57246,51006,180,162,274,44,1197,199,38,48,494,143,491,152,82,24,8924,327,-4,331,248,67,,9,4,4997,,42,11,-1200,13004,,,0,23124100,157,0,0
8285,0,60076,52621,274.865,173,282,58,1424,243,44,49,608,160,515,172,79,24,8732,337,13,324,215,81,,25,4,6193,14247,42,11,-1187,14411,,,14.6845,23124100,165,0,0
611,1,58762,51736,360,171,279,55,1304,227,36,53,586,140,465,150,77,23,8738,332,8,324,212,77,,27,4,7298,14371,41,11,-1184,15318,,,1.90915,23116142,161,,0
6033,0,59405,52224,90,172,281,57,1396,241,43,50,602,154,508,165,79,24,8692,335,11,324,214,80,,-56,4,6584,14288,42,11,-1171,14681,,,7.90716,23124100,163,0,0
8672,0,59405,52224,315,172,281,57,1396,241,43,50,602,154,508,165,79,24,8703,335,11,324,214,80,,-33,4,6567,14288,42,11,-1171,14665,,,2.69895,23124100,163,0,0
10682,0,61474,56513,338.199,173,282,57,1415,238,43,48,598,164,501,178,78,24,8748,338,14,324,215,81,,26,4,7007,14252,42,11,-1161,14694,,,3.42422,23124100,168,0,0
11881,0,61474,56513,180,173,282,57,1415,238,43,48,598,164,501,178,78,24,8748,338,14,324,215,81,,22,4,7007,14252,42,11,-1161,14694,,,0,23124100,168,0,0
11540,0,60137,52651,71.5651,173,282,58,1419,242,44,49,605,160,513,172,79,24,8725,337,13,324,214,81,,0,4,6186,14258,42,11,-1150,14408,,,1.00648,23124100,165,0,0
8381,0,61535,56574,180,173,283,58,1408,236,43,48,595,165,496,179,78,24,8769,339,14,325,215,81,,24,4,7048,14265,42,11,-1135,14719,,,0,23124100,169,0,0
9701,0,61443,56513,119.427,173,283,57,1406,237,43,48,596,164,498,177,79,24,8765,339,14,325,214,81,,9,4,6877,14272,42,11,-1134,14624,,,13.9695,23124100,168,0,0
10260,0,61443,56513,270,173,283,57,1407,236,43,48,595,164,497,178,79,24,8775,339,14,325,214,81,,-6,4,6866,14272,42,11,-1134,14619,,,21.5265,23124100,168,0,0
13228,0,60530,52895,171.87,172,282,57,1413,241,43,49,602,160,510,172,79,24,8731,337,13,324,214,81,,5,4,5882,14292,46,11,-1132,14151,,,2.24963,23124100,166,0,0
7992,0,59162,52071,15.3128,171,281,57,1380,239,43,50,598,151,503,161,79,24,8696,334,11,323,213,79,,-35,4,6791,14266,42,11,-1131,14843,,,44.0592,23124100,162,0,0
7298,0,61443,56482,188.13,173,282,57,1419,239,44,48,599,166,503,180,78,24,8748,338,14,324,215,81,,-1,4,7038,14249,42,11,-1127,14715,,,8.93014,23124100,169,0,0
12820,0,61381,56451,180,173,282,57,1424,240,44,48,601,165,508,178,78,24,8740,338,14,324,215,81,,22,4,7048,14254,42,11,-1116,14722,,,0,23124100,168,0,0
9265,0,61504,56543,272.936,173,282,57,1422,238,44,47,598,168,502,181,78,24,8776,338,14,324,215,81,,6,4,7124,14266,42,11,-1111,14776,,,12.2407,23124100,169,0,0
2936,1,57674,51220,63.435,164,277,47,1221,206,36,48,506,134,483,138,78,23,8948,329,-1,330,252,68,29,6,1,5875,,123,11,-1111,13912,33,38,0.711726,23125100,158,,0
2937,1,57674,51220,26.5651,164,277,47,1221,206,36,48,506,134,483,138,78,23,8948,329,-1,330,252,68,29,6,1,5875,,123,11,-1111,13912,33,38,2.1343,23125100,158,,0
11641,0,61413,56483,180,173,283,57,1410,237,43,48,596,164,499,178,78,24,8787,339,14,325,215,81,,22,4,6975,14265,42,11,-1093,14676,,,0,23124100,168,0,0
9149,0,59526,52254,205.115,171,280,56,1384,241,42,50,596,151,509,160,79,24,8683,335,11,324,213,79,,47,4,6745,14334,42,11,-1068,14865,,,11.1082,23124100,163,0,0
4489,0,59526,52254,180,171,280,56,1384,241,42,50,596,151,509,160,79,24,8683,335,11,324,213,79,,15,4,6731,14334,42,11,-1068,14850,,,0,23124100,163,0,0
8140,0,61535,56574,356.424,173,282,57,1416,238,43,48,598,165,501,179,78,24,8759,338,14,324,215,81,,31,4,7024,14257,42,11,-1067,14705,,,10.0999,23124100,169,0,0
9438,0,61535,56574,343.413,173,282,57,1416,238,43,48,598,165,501,179,78,24,8759,338,14,324,215,81,,8,4,7048,14257,42,11,-1067,14720,,,15.2403,23124100,169,0,0
6968,0,60195,52650,135,172,281,57,1406,241,43,49,599,159,510,171,79,24,8716,337,13,324,213,81,,15,4,6091,14292,42,12,-1055,14303,,,6.72137,23124100,165,0,0
4917,0,57307,51036,236.31,162,274,44,1198,200,38,48,495,143,490,151,81,24,8951,327,-4,331,249,67,,13,4,5093,144,42,11,-1046,13117,,,5.71934,23124100,157,0,0
4950,0,61412,56482,65.3231,173,282,58,1423,240,44,48,601,165,507,178,78,24,8725,338,14,324,215,81,,-39,4,7035,14255,42,11,-1028,14712,,,12.7466,23124100,168,0,0
4563,0,59463,52284,66.0375,169,279,53,1285,226,33,54,578,134,468,143,76,23,8738,329,6,323,212,76,,17,4,6436,14255,42,14,-1016,14722,,,3.13187,23124100,163,0,0
11649,0,58704,51827,263.29,167,276,57,1323,254,27,55,548,118,542,118,79,25,8548,327,12,315,249,57,,-6,4,5948,14312,42,11,-1014,14124,,,5.43225,23124100,161,0,0
13471,0,61320,56421,180,173,282,58,1412,239,43,48,598,163,504,176,78,24,8732,338,14,324,215,81,,22,4,6900,14249,42,11,-1007,14625,,,0,23124100,168,0,0
6636,0,61474,56513,180,173,282,57,1417,238,44,48,598,166,501,180,78,24,8750,338,14,324,215,81,,22,4,7043,14254,42,11,-1001,14718,,,0,23124100,169,0,0
